,between centrality,degree centrality,close centrality,eigen centrality,strength,degree,date
Monero,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,434,36,2018-11-04
NEM,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,293,36,2018-11-04
NEO,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,182,36,2018-11-04
Namecoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,350,36,2018-11-04
NuBits,0.006583831222113954,0.972972972972973,0.9736842105263158,0.16288510050797042,147,36,2018-11-04
Nxt,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,260,36,2018-11-04
OmiseGO,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,180,36,2018-11-04
Peercoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,341,36,2018-11-04
Petro,0.00022624563065739542,0.9459459459459459,0.9487179487179488,0.16211764446096413,128,35,2018-11-04
PotCoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,243,36,2018-11-04
Primecoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,349,36,2018-11-04
Ripple,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,459,36,2018-11-04
Stellar,0.0069720034852862175,1.0,1.0,0.1670678234990619,290,37,2018-11-04
Tether,0.00648250188691365,0.972972972972973,0.9736842105263158,0.16300716168366666,207,36,2018-11-04
Titcoin,0.00041544692872966113,0.972972972972973,0.9736842105263158,0.1661783062763594,227,36,2018-11-04
VeChain,8.832361773538243e-05,0.9189189189189191,0.925,0.15793492146987262,74,34,2018-11-04
Verge,0.0002775249158076482,0.9459459459459459,0.9487179487179488,0.1619955832852679,86,35,2018-11-04
Vertcoin,0.00022908938350114818,0.8918918918918919,0.902439024390244,0.1529770143499615,143,33,2018-11-04
Waves platform,0.00017932370873547344,0.8648648648648649,0.8809523809523809,0.14851333181750048,97,32,2018-11-04
Zcash,0.0003271233109942787,0.9459459459459459,0.9487179487179488,0.16187665335825466,282,35,2018-11-04
Tezos,0.0,0.1891891891891892,0.5522388059701493,0.032529299571546134,8,7,2018-11-04
Auroracoin,0.001527937248704684,0.6896551724137931,0.7393509127789046,0.17676977435440294,84,20,2017-12-03
Bitcoin,0.010850149469676228,0.8965517241379308,0.8977832512315271,0.2159520058592176,585,26,2017-12-03
Bitcoin Gold,0.0010263724364518948,0.5517241379310345,0.661524500907441,0.1420437438388841,36,16,2017-12-03
Dash,0.010850149469676228,0.8965517241379308,0.8977832512315271,0.2159520058592176,203,26,2017-12-03
Dogecoin,0.010850149469676228,0.8965517241379308,0.8977832512315271,0.2159520058592176,325,26,2017-12-03
Ethereum,0.04533290809036588,0.9310344827586208,0.9310344827586208,0.2167233670454713,297,27,2017-12-03
Gridcoin,0.010850149469676228,0.8965517241379308,0.8977832512315271,0.2159520058592176,74,26,2017-12-03
Litecoin,0.004956412664609374,0.8275862068965517,0.8379310344827586,0.20608897707032325,313,24,2017-12-03
MazaCoin,0.0032237032744132127,0.7241379310344828,0.7617554858934169,0.1830909758879524,77,21,2017-12-03
Monero,0.006537849837179552,0.8620689655172413,0.8668252080856124,0.21207259864676115,193,25,2017-12-03
